,Shool id,First Name,Last Name,University,Department,Course,Quality,Difficulty,Comments
0,1094219,Daniel,Stewart,American River College,Chemistry,CHEM305,4.0,4.0,He was a cool guy and cared about you and your grade. He cared if you understood the material or not and would offer lots of help and extra credit every week!
1,1094219,Daniel,Stewart,American River College,Chemistry,CHEM305,5.0,2.0,"I don't even know where to start! 5 star is not enough for him. Dr Stewart is amazing. His class was so fun. I'm an ESL student and his lectures are very clear. He is caring, respectful, kind, and educated. He is always available and I always received immediate response to my emails. He wants you to learn. Take him and you won't regret it."
2,1094219,Daniel,Stewart,American River College,Chemistry,CHEM305,5.0,3.0,"My favorite professor! His lectures are easy to follow, he records them so you can watch later. Quizzes were done every lecture class, either by yourself or in groups, and they were easy and helps to boost your grade. Lab was easy to follow and he genuinely cares about you. I wish I could have him for all of my classes!! I got a 99% in the class"
3,1094219,Daniel,Stewart,American River College,Chemistry,CHEM305,5.0,4.0,"Professor Stewart is truly a gem in the dreaded Chemistry world. Due to the COVID-19 bulls***, our class was placed fully online and for science classes that can be a NIGHTMARE!! Professor Stewart made it seamless and and worked WITH the class when there were road bumps in the way. LOTS of extra credit which really helps your grades. TAKE HIM!!!"
4,1094219,Daniel,Stewart,American River College,Chemistry,CHEM305,5.0,3.0,"AMAZING PROFESSOR! gives out extra credit every week, which adds up in your grade. hybrid class. STUDY DAILY, YOU WILL PASS. lots of homework a week, which is not that bad. Video lectures, which helps in many ways. SO MANY RESOURCES. HE IS ONE OF MY FAVORITE PROFESSORS AT ARC."
5,1094219,Daniel,Stewart,American River College,Chemistry,CHEM305,5.0,3.0,I am so glad to take Prof. Stewart. Even with us transitioning to do everything online due to Covid-19 he was still very understanding and made sure we learn as much as we can. His videos are so helpful! I thought i wouldn't pass because I am not a fan of chem but watching his videos and going through his notes helped me a lot! Thank you sir!
6,1094219,Daniel,Stewart,American River College,Chemistry,CHEM305,5.0,4.0,Chem 305 hybrid and was not disappointed. One of those rare professors who WANTS students to learn and be successful. Do not be scared to take his course online! He has it so organized and clear! Offers weekly exCrd! Do the EC!! Had him durng the COVID transition and he was flawless Do the work and try and you'll definitelty get a great grade!
7,1094219,Daniel,Stewart,American River College,Chemistry,CHEM305,5.0,5.0,I highly recommend Professor Stewart for chemistry! I took this class Spring of 2020 and had to transition to online half the semester due to the COVID stay-at-home order. Professor Stewart was still able to teach his class in a way that was easy to handle. He has a big passion for chemistry. Just a great teacher overall!
8,1094219,Daniel,Stewart,American River College,Chemistry,CHEM305,5.0,3.0,"The professor was amazing!He made everything to make it as easier as possible. Lecture videos online,3 midterms+study-guides and it was very helpful to pass the midterm with a good score,online chapter exam every week based on the lecture videos, no surprises!GOD BLESS HIM he was willing to help us to pass the class not to fail:)"
9,1094219,Daniel,Stewart,American River College,Chemistry,CHEM305,5.0,3.0,"I heard many great things about Professor Stewart prior to taking his class, he's truly amazing. He's a great teacher and an amazing person. He's passionate about chemistry( a tough class) and makes it fun. He wants students to be successful. Don't understand, ASK! If there were more teachers like him there would be more successful students!"
10,1094219,Daniel,Stewart,American River College,Chemistry,CHEM305,5.0,3.0,"Such an awesome professor. I took his chem class back in 2016 when I was going through a lot in my personal life. He took the time to make sure I was getting the information that I needed. Its 2019 and Im in my second chem class and regretting that I lost all of my notes. KEEP THEM! Enjoy this class, he makes it great!"
11,1094219,Daniel,Stewart,American River College,Chemistry,CHEM305,5.0,4.0,I'd heard that chemistry is among the most difficult college courses but Dr. Stewart is an excellent professor. The class is quiz heavy but he provides ample resources and all it takes to do well is an investment of time. Be prepared to truly learn and apply the concepts. Highly recommend Dr. Stewart if you are seeking a solid chem foundation.
12,1094219,Daniel,Stewart,American River College,Chemistry,CHEM305,4.0,3.0,"Online quizzes help for In class quizzes. Records his lectures. Don't miss lab, it makes a big part of your grade. Quizzes are easy. Lets you have an index card for midterms and finals. Fair grader. Good professor."
13,1094219,Daniel,Stewart,American River College,Chemistry,CHEM305,5.0,3.0,Professor Stewart was absolutely awesome. This was my second time taking chemistry and he really made it easy to understand the basics of chemistry and pass the class. Dont miss the quizzes or the labs and youll easily pass. And on Wednesdays he would try to do a fun demo to show how cool chemistry is. I really enjoyed his class.
14,1094219,Daniel,Stewart,American River College,Chemistry,CHEM305,5.0,4.0,"By far the best chem professor I've had so far. Records his lectures and puts them online. Explains concepts really well. Many tests and quizzes, but it's what prepares you for exams and his way of teaching WORKS. 10/10 would recommend!"
15,1094219,Daniel,Stewart,American River College,Chemistry,CHEM305,5.0,2.0,"Best professor you can take for chem 305. Gives a lot of quizes (group, online) and it really prepares you for the exams. It was really good for me because I don't like to study much and the quizes were great review. He also records his lectures so you can find them on canvas. Tests are all multiple choice"
16,1094219,Daniel,Stewart,American River College,Chemistry,CHEM305,5.0,5.0,"College Professor that doesn't put up with your nonsense; either be there TO learn or skip this class because you're expected know the information; he loves Chemistry and it shows. Three tests a week, lots of reading and memorizing of the subject. NOT an easy class. Want a head start? Read and memorize the back of the required book, both sides."
17,1094219,Daniel,Stewart,American River College,Chemistry,CHEM305,4.0,3.0,"Pros: Explain lecture SUPER well with many examples. He record his lecture, its so helpful. If you ask him for some practice problems he will post some up. Cons:can be rude. not very approachable. There are trick questions on test &amp; quiz. Overall:weekly quiz due Sunday,Chapter test &amp; group test every week. Lecture are usually one chapter per week"
18,1094219,Daniel,Stewart,American River College,Chemistry,305,5.0,3.0,"Have you ever felt sad to finish a class? That was my feeling when I done with Mr. Steawart's class. Awesome is not enough to describe this amazing professor. Despite I'm a non English speaker, finished my high school long time ago, so I have already forgotten what H2O is :) I learned a lot in his class. Take him you won't regret it!"
19,1094219,Daniel,Stewart,American River College,Chemistry,CHEM305,5.0,2.0,"I loved this class! Professor Stewart really cares and gives students plenty of opportunities. 1 thing is dropped in every category. Exams every class, but since theres so many it keeps you from falling behind and helps maintain a high score. No surprises, you know exactly what to expect.. Thank you Professor Stewart!"
21,384832,Cynthia,Unmack,American River College,Political Science,POL300,1.0,4.0,Difficult tests. Roundabout lectures. Skip this professor if you can.
22,384832,Cynthia,Unmack,American River College,Political Science,POLS320,5.0,3.0,Prof Unmack is great. Her class is very straight forward and she does not leave her students to do a lot of guessing as to what her expectations are. I love listening to her lectures as she is very smart and knows a lot about what she is talking about. Unmack and Collihan are some of the only prof's with classes that are understandable and clear.
23,384832,Cynthia,Unmack,American River College,Political Science,POL330,5.0,4.0,"As long as you listen to the lectures, read the Court cases and their rulings with the ability to analyze them, take good notes, and once again read you will do good in her class. Her lectures are always interesting. She will keep you engaged to the lectures because she seems passionate about what she is teaching."
24,384832,Cynthia,Unmack,American River College,Political Science,POL301,1.0,5.0,"Prof. takes up to a month or more to grade exams &amp; post then on canvas. So you really never know what your grade is. Her lectures are irrelevant to the exams, also 4 exams total &amp; each worth 150 points. She takes forever to reply back to emails. Basically you're teaching the course yourselves. Prof. doesn't accept late work."
25,384832,Cynthia,Unmack,American River College,Political Science,POLS301,5.0,3.0,"Very easy online course, one chapter every week and an inquizative assessment that helps reinforce digital textbook material. Voice text for The book is available on windows and iPad. In The News assignment every other weeks but its very easy to find a news article and relate it back to the book. Almost every test and quiz answer is on google."
26,384832,Cynthia,Unmack,American River College,Political Science,POLS481,5.0,3.0,I really like prof unmack. she grades very fairly and is very passionate about what shes teaching. the exams are very similar to the lectures and readings. she gives out a decent amount of extra credit. definitely not hard to get an A. however it does take her a bit of time to input scores and she often goes off topic when people ask questions...
27,384832,Cynthia,Unmack,American River College,Political Science,POL301,1.0,5.0,"You can never get in touch with her, assignments finished 2 months prior still haven't been graded, she expects you to know all of the material on her level, all the tests are long and worded confusingly and you have about a minute per question. The tests are also worth about 100 points each with the average grade being a D."
28,384832,Cynthia,Unmack,American River College,Political Science,POLS320,1.0,5.0,"She doesnt know how to teach without going off topic, grades tests unfairly, and takes forever to grade papers."
29,384832,Cynthia,Unmack,American River College,Political Science,POL301,1.0,4.0,"Do not take this professor. You will be succumbed by a loads of work and there will be at least 4 chapters on one single exam. Exams are heavy and she gives you no break on Thanksgiving so you have no chance to catch up. She never replies to any emails, any calls for help and grades work 2-3 weeks late so you never know how you stand in the class."
30,384832,Cynthia,Unmack,American River College,Political Science,POL301,1.0,4.0,I took her online POLS 301 class and the average grade for her exams was around 65%. Her exams are super hard to pass and she's a very tough grader. She also never responded to any of the emails for the help that I sent her. You never know your actual grade in the class because it takes her 2-3 weeks to grade a simple assignment. Wouldn't recommend
31,384832,Cynthia,Unmack,American River College,Political Science,POLS330,4.0,3.0,"lecture heavy, no homework just tests and a poster for final. tests are about cases learned in class so attendance really helps but not mandatory."
32,384832,Cynthia,Unmack,American River College,Political Science,POLS320,5.0,4.0,"This class is different. You really have to care about this topic because she really cares about it. You gotta read and be ready to use what you read in the tests since that's the bulk of the points. Her tests are not hard to pass, but you need to say lecture material and a bit of the reading. Again, You actually have to care about the subject."
33,384832,Cynthia,Unmack,American River College,Political Science,POLS320,1.0,5.0,Shes not a good professor at all.
